TargetId	RightAscension	Declination	RfFreq	SigType	Drift	Date	Beam
150005	19.807680	41.909100	8,549.671344	CwP	0.058	2011-11-30 03:48:50	1
140773	11.446188	3.006328	8,530.015174	CwP	0.059	2011-12-01 14:59:28	1
150008	19.358770	43.293000	8,667.635696	CwP	-0.024	2011-12-01 16:18:37	1
1738573	19.382295	44.924740	8,536.503315	Pul	3.707	2011-12-01 18:16:29	3
150016	19.553740	41.606400	8,686.477032	CwP	-0.027	2011-12-01 19:39:31	1
150018	19.804680	40.868800	8,628.317826	CwP	-0.007	2011-12-02 02:48:47	1
150019	19.068270	48.431800	8,667.634521	CwP	-0.028	2011-12-02 03:27:16	1
150019	19.068270	48.431800	8,687.295051	CwP	-0.031	2011-12-02 03:29:55	1
150033	19.800990	47.486400	8,546.848375	Pul	-7.053	2011-12-02 05:39:43	1
140933	19.787500	47.526667	8,592.583690	Pul	-7.716	2011-12-02 05:47:45	2
140933	19.787500	47.526667	8,593.392115	Pul	-6.088	2011-12-02 05:47:45	2
140933	19.787500	47.526667	8,581.928282	Pul	-2.833	2011-12-02 05:47:45	2
140933	19.787500	47.526667	8,590.930372	Pul	-3.858	2011-12-02 05:47:45	2
140933	19.787500	47.526667	8,590.124913	Pul	-2.833	2011-12-02 05:47:45	2
150024	18.924430	39.898100	8,559.635099	Pul	7.113	2011-12-03 01:27:38	1
150036	19.144990	44.878600	8,625.031481	Pul	-1.778	2011-12-03 19:12:06	1
150036	19.144990	44.878600	8,628.355411	Pul	6.088	2011-12-03 19:12:06	1
1843409	19.609764	45.128681	8,617.244235	Pul	2.773	2011-12-03 23:16:06	2
1843470	19.578326	45.052228	8,612.454582	Pul	-7.716	2011-12-03 23:16:06	3
150062	19.595200	45.142200	8,654.129915	Pul	7.716	2011-12-03 23:24:19	1
1843409	19.609764	45.128681	8,648.383611	Pul	1.266	2011-12-03 23:24:19	2
1843409	19.609764	45.128681	8,654.924452	Pul	3.858	2011-12-03 23:24:19	2
150062	19.595200	45.142200	8,647.644271	Pul	0.995	2011-12-03 23:24:19	1
150062	19.595200	45.142200	8,647.728710	Pul	2.381	2011-12-03 23:24:19	1
150062	19.595200	45.142200	8,640.958374	Pul	-5.877	2011-12-03 23:24:19	1
1843470	19.578326	45.052228	8,671.261068	Pul	5.003	2011-12-03 23:27:07	3
1843409	19.609764	45.128681	8,657.289280	Pul	-3.225	2011-12-03 23:27:07	2
150062	19.595200	45.142200	8,672.028537	Pul	-5.064	2011-12-03 23:27:07	1
1843470	19.578326	45.052228	8,671.281734	Pul	-0.663	2011-12-03 23:27:07	3
1843409	19.609764	45.128681	8,657.292612	Pul	5.787	2011-12-03 23:27:07	2
150062	19.595200	45.142200	8,672.034223	Pul	2.291	2011-12-03 23:27:07	1
1843470	19.578326	45.052228	8,671.280544	Pul	-5.305	2011-12-03 23:27:07	3
1843409	19.609764	45.128681	8,657.293554	Pul	6.450	2011-12-03 23:27:07	2
150062	19.595200	45.142200	8,672.040363	Pul	4.551	2011-12-03 23:27:07	1
1843409	19.609764	45.128681	8,674.489239	Pul	4.250	2011-12-03 23:27:07	2
1843470	19.578326	45.052228	8,659.780252	Pul	-2.502	2011-12-03 23:27:07	3
150062	19.595200	45.142200	8,672.039188	Pul	-5.516	2011-12-03 23:27:07	1
1843470	19.578326	45.052228	8,671.290306	Pul	-7.053	2011-12-03 23:27:07	3
1843470	19.578326	45.052228	8,659.807537	Pul	2.502	2011-12-03 23:27:07	3
150062	19.595200	45.142200	8,672.043881	Pul	-8.500	2011-12-03 23:27:07	1
1843409	19.609764	45.128681	8,674.487991	Pul	-0.784	2011-12-03 23:27:07	2
1843470	19.578326	45.052228	8,659.870834	Pul	-4.612	2011-12-03 23:27:07	3
150062	19.595200	45.142200	8,672.047503	Pul	-8.349	2011-12-03 23:27:07	1
1843470	19.578326	45.052228	8,671.297195	Pul	5.094	2011-12-03 23:27:07	3
1843470	19.578326	45.052228	8,659.880685	Pul	5.576	2011-12-03 23:27:07	3
150062	19.595200	45.142200	8,672.053421	Pul	2.622	2011-12-03 23:27:07	1
1843409	19.609764	45.128681	8,673.670647	Pul	7.686	2011-12-03 23:27:07	2
1843470	19.578326	45.052228	8,659.899850	Pul	3.376	2011-12-03 23:27:07	3
150062	19.595200	45.142200	8,672.054562	Pul	5.365	2011-12-03 23:27:07	1
1843409	19.609764	45.128681	8,674.490025	Pul	3.798	2011-12-03 23:27:07	2
1843470	19.578326	45.052228	8,659.907552	Pul	0.452	2011-12-03 23:27:07	3
150062	19.595200	45.142200	8,673.671276	Pul	2.411	2011-12-03 23:27:07	1
1843470	19.578326	45.052228	8,671.302361	Pul	-4.250	2011-12-03 23:27:07	3
1843409	19.609764	45.128681	8,659.742971	Pul	2.200	2011-12-03 23:27:07	2
150062	19.595200	45.142200	8,673.673433	Pul	6.631	2011-12-03 23:27:07	1
1843409	19.609764	45.128681	8,673.668967	Pul	-1.386	2011-12-03 23:27:07	2
1843409	19.609764	45.128681	8,659.741736	Pul	-5.666	2011-12-03 23:27:07	2
150062	19.595200	45.142200	8,673.670891	Pul	-6.028	2011-12-03 23:27:07	1
1843409	19.609764	45.128681	8,674.488816	Pul	-1.417	2011-12-03 23:27:07	2
1843409	19.609764	45.128681	8,659.745985	Pul	3.346	2011-12-03 23:27:07	2
150062	19.595200	45.142200	8,673.674229	Pul	2.050	2011-12-03 23:27:07	1
1843470	19.578326	45.052228	8,671.322429	Pul	-2.050	2011-12-03 23:27:07	3
1843409	19.609764	45.128681	8,659.744741	Pul	-3.074	2011-12-03 23:27:07	2
150062	19.595200	45.142200	8,673.676541	Pul	0.874	2011-12-03 23:27:07	1
1843409	19.609764	45.128681	8,673.670880	Pul	0.874	2011-12-03 23:27:07	2
1843409	19.609764	45.128681	8,659.749231	Pul	4.220	2011-12-03 23:27:07	2
150062	19.595200	45.142200	8,673.678997	Pul	5.606	2011-12-03 23:27:07	1
1843409	19.609764	45.128681	8,674.488708	Pul	-3.436	2011-12-03 23:27:07	2
1843409	19.609764	45.128681	8,659.751297	Pul	4.099	2011-12-03 23:27:07	2
150062	19.595200	45.142200	8,673.683818	Pul	6.209	2011-12-03 23:27:07	1
1843470	19.578326	45.052228	8,671.440922	Pul	-2.230	2011-12-03 23:27:07	3
1843409	19.609764	45.128681	8,659.752858	Pul	4.099	2011-12-03 23:27:07	2
1843470	19.578326	45.052228	8,657.289177	Pul	0.452	2011-12-03 23:27:07	3
1843409	19.609764	45.128681	8,673.671757	Pul	-0.543	2011-12-03 23:27:07	2
1843409	19.609764	45.128681	8,659.754678	Pul	7.113	2011-12-03 23:27:07	2
1843470	19.578326	45.052228	8,657.304183	Pul	-7.897	2011-12-03 23:27:07	3
1843409	19.609764	45.128681	8,674.488900	Pul	-4.099	2011-12-03 23:27:07	2
1843409	19.609764	45.128681	8,664.659129	Pul	1.628	2011-12-03 23:27:07	2
1843470	19.578326	45.052228	8,657.313434	Pul	4.732	2011-12-03 23:27:07	3
150062	19.595200	45.142200	8,659.747239	Pul	0.934	2011-12-03 23:27:07	1
1843409	19.609764	45.128681	8,673.670119	Pul	-8.108	2011-12-03 23:27:07	2
1843409	19.609764	45.128681	8,664.660333	Pul	4.099	2011-12-03 23:27:07	2
1843470	19.578326	45.052228	8,657.321678	Pul	-4.401	2011-12-03 23:27:07	3
150062	19.595200	45.142200	8,659.749508	Pul	4.762	2011-12-03 23:27:07	1
1843409	19.609764	45.128681	8,674.489528	Pul	-4.039	2011-12-03 23:27:07	2
1843409	19.609764	45.128681	8,664.659890	Pul	-3.557	2011-12-03 23:27:07	2
1843470	19.578326	45.052228	8,657.407800	Pul	-5.908	2011-12-03 23:27:07	3
150062	19.595200	45.142200	8,659.752583	Pul	8.560	2011-12-03 23:27:07	1
